product_code,product_name
Bathroom_Tissue_10000004,花贝方巾纸
Bathroom_Tissue_10000005,欢笑方巾纸
Bathroom_Tissue_10000006,美洁方巾纸
Bathroom_Tissue_10000007,美宜佳迷你纸巾
Bathroom_Tissue_10000008,三维方巾纸
Bathroom_Tissue_10000009,深洁丽彩心方巾纸
Bathroom_Tissue_10000010,深洁丽方巾纸
Bathroom_Tissue_10000011,王妃方巾纸
Bathroom_Tissue_10000012,王子高级方巾纸
Bathroom_Tissue_10000013,天湖温柔乡方巾纸
Bathroom_Tissue_10000014,天湖情有独钟方巾纸
Bathroom_Tissue_10000015,宝明花之彩超值立装卷纸
Bathroom_Tissue_10000016,宝明花之彩超值平装卷纸
Bathroom_Tissue_10000017,宝明花之俏精装卷纸
Bathroom_Tissue_10000018,宝明天天卷纸
Bathroom_Tissue_10000019,贝柔极品卷纸(卷)
Bathroom_Tissue_10000020,波比高级卷纸
Bathroom_Tissue_10000021,洁柔极品卷纸(卷)
Bathroom_Tissue_10000022,洁柔太阳卷纸
Bathroom_Tissue_10000023,王子高级卷纸
Bathroom_Tissue_10000024,王子高级卷纸
Bathroom_Tissue_10000025,维达8+2卷纸
Bathroom_Tissue_10000026,维达花之韵卷纸
Bathroom_Tissue_10000027,新花卷纸
Bathroom_Tissue_10000028,真真卷纸
Bathroom_Tissue_10000029,天湖温柔乡超值装卷纸
Bathroom_Tissue_10000030,天湖温柔乡实惠装卷纸12卷装
Bathroom_Tissue_10000031,维达红色卷纸(卷)
Bathroom_Tissue_10000032,王妃手帕纸
Bathroom_Tissue_10000033,维达花之韵纸手帕
Bathroom_Tissue_10000034,维达倍韧手帕纸(BoBo香薰)
Bathroom_Tissue_10000035,维达V0005纸巾
Bathroom_Tissue_10000036,清风卷纸10卷装
Bathroom_Tissue_10000037,贝柔家乐压花卷纸
Bathroom_Tissue_10000038,贝柔家乐压花卷纸
Bathroom_Tissue_10000039,贝柔乐花抽取式方巾纸
Bathroom_Tissue_10000040,欢笑特惠装卷纸80G
Bathroom_Tissue_10000041,温柔乡金典卷纸(条)
Bathroom_Tissue_10000042,品柔压花卷纸
Bathroom_Tissue_10000043,绿惠手帕纸
Bathroom_Tissue_10000044,品柔压花方巾纸
Bathroom_Tissue_10000045,洁柔太阳环保卷纸(卷)
Bathroom_Tissue_10000046,洁宝卫生卷纸
